Offspring bands,species,Mid-offspr,maleband,Male BD,femband,Female BD,Mid-parent,,,
17907.5,fortis,8.9,5505,9.8,14858,8.8,9.3,,,
14421,fortis,9.34,5531,9.2,5369,10.7,9.95,,,
14123,fortis,8.77,5545,9.9,5782,9,9.45,,,
16512.5,fortis,9.4,5555,8.4,5821,10.6,9.5,,,
13987.5,fortis,8.82,5555,8.4,10995,8.5,8.45,,,
15418.3,fortis,8.83,5555,8.4,14518,9.2,8.8,,,
16851,fortis,8.6,5555,8.4,15464,8.65,8.53,,,
15153.6,fortis,9.5,5560,9.6,5858,9.15,9.38,,,
14451,fortis,10.2,5562,10.6,10677,9.8,10.2,,,
15184.3,fortis,8.09,5578,7.65,13907,7.6,7.63,,,
17071.3,fortis,9.07,5578,7.65,15389,9.1,8.38,,,
15191.9,fortis,9.29,5586,9.7,10347,8.8,9.25,,,
15363.4,fortis,9.1,5614,9.9,5965,8.9,9.4,,,
14776.6,fortis,10.19,5649,10.6,5543,10.5,10.55,,,
15476,fortis,9.25,5669,8.9,5721,8.9,8.9,,,
14403,fortis,8.98,5669,8.9,5951,8.7,8.8,,,
14892,fortis,9.02,5669,8.9,13365,9.1,9,,,
16367,fortis,8.6,5669,8.9,15106,8.25,8.58,,,
14971.5,fortis,8.25,5718,9.15,5627,8,8.58,,,
14032,fortis,8.7,5731,10.3,5965,8.9,9.6,,,
15125,fortis,9.9,5731,10.3,10100,8.45,9.38,,,
16028,fortis,9.65,5731,10.3,10548,8.9,9.6,,,
14083.5,fortis,9.45,5763,9.9,13231,10,9.95,,,
15194.8,fortis,9.38,5789,10.1,10102,9.1,9.6,,,
13982,fortis,10.4,5813,10.4,5757,10,10.2,,,
15474.3,fortis,9.96,5847,10.3,10330,9.4,9.85,,,
14940.8,fortis,9.46,5860,10.05,13389,9.2,9.63,,,
15805,fortis,8.26,5860,10.05,14123,8,9.03,,,
16397,fortis,10.05,5860,10.05,15170,10.7,10.38,,,
14021,fortis,8.92,5874,10.6,5570,9.9,10.25,,,
15159.2,fortis,9.5,5921,9.9,13269,8.7,9.3,,,
17651.5,fortis,9.43,5921,9.9,13486,9.1,9.5,,,
14704.5,fortis,8.97,5921,9.9,14041,9.2,9.55,,,
15036.1,fortis,8.44,5927,9.2,13194,7.9,8.55,,,
16723.8,fortis,8.92,5927,9.2,15182,8.9,9.05,,,
14114,fortis,10.3,5935,11,10190,8.8,9.9,,,
14474,fortis,8.4,5963,10,10556,9.6,9.8,,,
15477.5,fortis,9.37,5963,10,10670,9.5,9.75,,,
8303.7,fortis,9.91,7671,11.4,4281,9.1,10.25,,,
10504,fortis,10,8122,9,5502,9.2,9.1,,,
10283,fortis,9.21,8160,10,2537,9.3,9.65,,,
4940,fortis,9.95,8160,10,3351,10.6,10.3,,,
4276.5,fortis,8.84,8160,10,4077,7.8,8.9,,,
14469.5,fortis,9.82,8160,10,4190,9.9,9.95,,,
3318,fortis,9.5,8165,8.9,2887,10.1,9.5,,,
10250,fortis,10.29,8374,9.7,4860,9.85,9.78,,,
5887,fortis,8.4,8436,10.65,1944,8.2,9.43,,,
15078,fortis,8.31,9700,6.7,5872,8.8,7.75,,,
13578.5,fortis,9.29,9700,6.7,5887,8.4,7.55,,,
15054.6,fortis,8.86,10066,8.6,10751,9.6,9.1,,,
13941,fortis,9.4,10076,10.6,5556,8.6,9.6,,,
15189.9,fortis,9.62,10080,9.95,10023,9.2,9.58,,,
15288.6,fortis,8.62,10081,9.5,5887,8.4,8.95,,,
14448,fortis,8.3,10136,10.2,10102,9.1,9.65,,,
13819,fortis,9.8,10168,10.3,13214,9,9.65,,,
14761.5,fortis,8.48,10178,11,13306,8.3,9.65,,,
14751,fortis,9.61,10181,10.5,5685,8.55,9.53,,,
16623.8,fortis,9.5,10181,10.5,14041,9.2,9.85,,,
13933.7,fortis,9.37,10183,9.3,5792,8.8,9.05,,,
15279.7,fortis,8.74,10213,9.2,2658,9.4,9.3,,,
15987,fortis,9.31,10213,9.2,14827,8.6,8.9,,,
16719.5,fortis,9.5,10213,9.2,15197,9.7,9.45,,,
14783.5,fortis,9.49,10228,9.7,5844,10.3,10,,,
14108,fortis,9.74,10228,9.7,10504,10,9.85,,,
15369,fortis,9.2,10228,9.7,14042,8.8,9.25,,,
13801,fortis,9.24,10289,10,10078,10.2,10.1,,,
17759,fortis,9.7,10305,9.9,13351,8.35,9.13,,,
15001.8,fortis,9.64,10305,9.9,14546,9.4,9.65,,,
17894,fortis,9.2,10305,9.9,15944,8.3,9.1,,,
15695,fortis,7.5,10317,6.4,13837,9.7,8.05,,,
16809,fortis,7.5,10317,6.4,14890,8.4,7.4,,,
16861,fortis,8.7,10376,7.7,2776,10,8.85,,,
15111,fortis,8.31,10376,7.7,4993,10.45,9.08,,,
13808,fortis,9,10550,9.7,13306,8.3,9,,,
15174.7,fortis,9.74,10685,9.1,10622,10.3,9.7,,,
14796.5,fortis,9.31,10703,8.9,10760,8.5,8.7,,,
15702,fortis,10.5,10703,8.9,13760,10,9.45,,,
17467,fortis,9.3,10826,9.4,13975,10,9.7,,,
15272.5,fortis,8.12,10826,9.4,14507,7.3,8.35,,,
15614.5,fortis,9.34,13195,8.6,13365,9.1,8.85,,,
14845.3,fortis,9.72,13201,9.8,13075,9.6,9.7,,,
14041.5,fortis,9,13201,9.8,13365,9.1,9.45,,,
13909,fortis,9.65,13210,10.6,10239,10,10.3,,,
13975,fortis,9.9,13223,9.7,10622,10.3,10,,,
14174,fortis,10,13300,10.1,5510,10.8,10.45,,,
16507,fortis,10.1,13300,10.1,13687,8.8,9.45,,,
14053.5,fortis,8,13303,8.5,13302,8.5,8.5,,,
15479.5,fortis,9.07,13377,7.7,13385,8.9,8.3,,,
14989,fortis,9.75,13409,9.4,5821,10.6,10,,,
15172.9,fortis,9.33,13413,10.1,13351,8.35,9.23,,,
15130.5,fortis,8.11,13575,8.9,10313,10.6,9.75,,,
15078.6,fortis,9.36,13579,9.1,14062,9.2,9.15,,,
16479.5,fortis,9.74,13595,10.2,5721,8.9,9.55,,,
17145,fortis,9.9,13644,9.5,15995,8.5,9,,,
14701,fortis,9.23,13690,9.1,5635,9.45,9.28,,,
16837.5,fortis,9.7,13704,9.5,14062,9.2,9.35,,,
15876,fortis,8.2,13704,9.5,15379,8.4,8.95,,,
15009.3,fortis,9.35,13781,9.85,5400,9.9,9.88,,,
16004.8,fortis,9.49,13901,7.9,14403,9,8.45,,,
14960.8,fortis,9.34,13901,7.9,14471,9.3,8.6,,,
15321.5,fortis,8.87,13994,8.6,14149,10.8,9.7,,,
16858.5,fortis,9.03,13994,8.6,15995,8.5,8.55,,,
15377,fortis,9.07,13996,8.1,10679,10,9.05,,,
15874,fortis,9.43,14003,10.3,14258,8.9,9.6,,,
15019,fortis,8.2,14025,8.5,14042,8.8,8.65,,,
15041.1,fortis,9.19,14100,9.2,2833,9.2,9.2,,,
17109,fortis,9,14100,9.2,13269,8.7,8.95,,,
16197,fortis,9.2,14117,10,5826,9.2,9.6,,,
15598.4,fortis,9.06,14279,9.3,5389,9,9.15,,,
15670.3,fortis,9.81,14347,9.1,13945,9.7,9.4,,,
15242,fortis,8.89,14356,9,5626,8.9,8.95,,,
14874,fortis,9.4,14408,11.5,13881,8.4,9.95,,,
15023,fortis,10.45,14442,11.4,13945,9.7,10.55,,,
15199.5,fortis,9.64,14468,10.3,5828,9.1,9.7,,,
16959.8,fortis,9.03,14478,8.9,5872,8.8,8.85,,,
15175.5,fortis,8.71,14478,8.9,10198,8.7,8.8,,,
14996.7,fortis,9.91,14492,9.6,5905,10.4,10,,,
16502,fortis,8.33,14492,9.6,14970,8.5,9.05,,,
17617,fortis,8.2,14506,7.2,14062,9.2,8.2,,,
14982.5,fortis,7.83,14506,7.2,14403,9,8.1,,,
